dose	time_in_study	accession_number	depositor_study_number	organization_name	start_date	end_date	dose_unit	ntp_toxicology_type	ntp_tdms_number	time_in_study_unit	group_name	treatment_group_type	route	subject_name	species_common_name	sex	strain	ur_bld	ur_color	cyto_rep	chemical_name	amino	study_title	ala	ala_unit	alphr	alphr_unit	ap_creat	ap_creat_unit	asp_creat	asp_creat_unit	ast	ast_unit	ava	ava_unit	bili	bili_unit	ca	ca_unit	cl	cl_unit	creat	creat_unit	creat_hr	creat_hr_unit	crtn_24	crtn_24_unit	crtn_48	crtn_48_unit	galac	galac_unit	ggt	ggt_unit	ggt_hr	ggt_hr_unit	gluc	gluc_unit	gluc_hr	gluc_hr_unit	glu_hr_tis	glu_hr_tis_unit	k	k_unit	ketone	ketone_unit	ldh_creatn	ldh_creatn_unit	mg	mg_unit	na	na_unit	nag_creat	nag_creat_unit	nag_hr	nag_hr_unit	ph	ph_unit	phos	phos_unit	protein	protein_unit	pro_g_hr	pro_g_hr_unit	prpb	prpb_unit	sdh	sdh_unit	spgrav	spgrav_unit	tcn_lt	tcn_lt_unit	tsprot	tsprot_unit	ubgen	ubgen_unit	upro_crtn	upro_crtn_unit	urea_conc	urea_conc_unit	urea_hr	urea_hr_unit	urine_vol	urine_vol_unit	ur_prot	ur_prot_unit	ur_prot_hr	ur_prot_hr_unit	ur_vol_hr	ur_vol_hr_unit	updated_at
12.000000000000000	42	002-02832-0002-0000-9	NTP002	NTP	2001	\N	mg/m3	\N	2011401.ss	week	C61949_0516403_04	\N	\N	0471_99	Rat	Female	Fischer 344	2	red	cytorep_domcument.pdf	trans-Cinnamaldehyde	\N	3-Month Evaluation of the Toxicity (C61881) of 2,3-Dichloropropylene (78-88-6) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	18.5888	umol/L	11.9956	mU/hr	3593.7416	mU/mg	\N	\N	22.5795	U/L	0	\N	\N	\N	0	\N	\N	\N	236.8189	mg/dL	0.1842	uM/hour	\N	\N	\N	\N	\N	\N	2859.7046	U/L	\N	\N	21.6355	mg/dL	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	0	\N	0	\N	125.2634	mU/mg	\N	\N	\N	\N	0	\N	0	\N	0	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	0	\N	1024.5539	mg/dL	\N	\N	\N	\N	522.9795	mg/dL	0.8058	mg/hr	\N	\N	2017-11-21 10:02:54.134814
600.000000000000000	180	002-02201-0001-0000-8	\N	NTP	2001	\N	mg/kg	\N	0511301.ss	hour	C62191B_0520605_04	\N	\N	0238_05	Rat	Male	B6C3F1	neg.	brown	cytorep_domcument.pdf	Sodium Cyanide	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C20114) of Sodium Dichromate Dihydrate (VI) (7789-12-0) in F344 Rats Exposed via Dosed Water. NTP Special Study	15.8422	umol/L	5.2754	mU/hr	\N	\N	165.5824	mU/mg	156.5089	U/L	0	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	281.6325	mg/hr	172.1709	mg/hr	0	\N	\N	\N	80.2247	mU/hr	45.4139	mg/dL	0.082	mg/hr	0	\N	0	\N	0	\N	0	\N	\N	\N	0	\N	67.3862	mU/mg	\N	\N	0	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	0	\N	\N	\N	\N	\N	937.0781	mg/dL	\N	\N	0	\N	563.8771	mg/dL	\N	\N	\N	\N	2018-10-20 17:30:49.718814
750.000000000000000	17	002-01884-0002-0000-5	NTP002	NTP	2001	\N	mg/L	\N	8804503.ss	week	C62168_0517603_21	\N	\N	0208_05	Mouse	Male	F344	2	red	\N	alpha-Methylstyrene	\N	3-Month Evaluation of the Toxicity (C88036) of Anthraquinone (84-65-1) in F344 Rats Exposed via Dosed Feed. NTP Special Study	\N	\N	\N	\N	\N	\N	19.9057	mU/mg	253.9299	U/L	0	\N	0	mg/dL	\N	\N	0	\N	\N	\N	0.2752	uM/hour	\N	\N	\N	\N	0	\N	2636.1744	U/L	20.6075	mU/hr	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.6508	mg/hr	0	\N	\N	\N	0	\N	\N	\N	2.3504	umol/L	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	1549.8562	mg/dL	\N	\N	\N	\N	\N	\N	0.3846	mg/hr	\N	\N	2020-06-23 15:08:59.232414
80.000000000000000	19	002-01884-0001-0000-4	NTP002	NTP	2001	\N	ppm	\N	0521303.ss	week	C88045_8804503_08	\N	\N	0751_05	Mouse	Male	B6C3F1	neg	yellow	cytorep_domcument.pdf	Sodium Selenate	\N	3-Month Evaluation of the Toxicity (C93025) of Tetralin (119-64-2) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	23.4522	umol/L	\N	\N	14518.4567	mU/mg	\N	\N	151.4907	U/L	\N	\N	0	mg/dL	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	324.7031	mg/hr	0	\N	2248.4126	U/L	37.2396	mU/hr	6.0573	mg/dL	0.0644	mg/hr	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	76.1454	mU/mg	4.2079	mg/hr	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	405.6373	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	13.7008	mL/hr	2017-09-23 18:04:49.450014
300.000000000000000	16	002-01884-0001-0000-4	NTP002	NTP	2001	\N	mg/kg	\N	5611103.ss	day	C99027_9902798_01	\N	\N	0609_98_02_F	Mouse	Female	Fischer 344	2	light yellow	cytorep_image.jpeg	alpha-Methylstyrene	\N	3-Month Evaluation of the Toxicity (C88006B) of alpha-Methylstyrene (98-83-9) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	7.4402	umol/L	\N	\N	9686.2251	mU/mg	\N	\N	339.7061	U/L	0	\N	\N	\N	0	\N	\N	\N	\N	\N	0.1788	uM/hour	156.2206	mg/hr	119.8941	mg/hr	0	\N	\N	\N	85.1774	mU/hr	94.0866	mg/dL	0.0186	mg/hr	0	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	41.4394	mU/mg	5.1539	mg/hr	0	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	0	\N	0	\N	628.8791	mg/dL	\N	\N	\N	\N	\N	\N	0.2226	mg/hr	\N	\N	2021-05-05 14:46:34.589214
400.000000000000000	24	002-02740-0002-0000-7	NTP002	NTP	\N	\N	mg/L	\N	0521603.ss	day	C20114_2011401_06	\N	\N	0170_05	Rat	Female	B6C3F1	\N	red	cytorep_domcument.pdf	o-Cresol	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C04308) of Sodium Selenite (10102-18-8) in F344 Rats Exposed via Dosed Water. NTP Special Study	\N	\N	14.6678	mU/hr	\N	\N	212.0633	mU/mg	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.0081	mg/hr	\N	\N	\N	\N	0	\N	0	\N	0	\N	\N	\N	207.2783	mU/mg	12.4319	mg/hr	0	\N	0	\N	\N	\N	\N	\N	4.9672	umol/L	0.6597	U/L	0	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0.3462	mg/hr	\N	\N	2021-05-16 12:02:55.488414
400.000000000000000	80	002-01116-0003-0000-4	\N	NTP	2001	\N	mg/kg	\N	9000405.fixtime	month	C62077_0519703_12	\N	\N	1108_03	Mouse	Female	F344	negative	light yellow	\N	Gallium Arsenide	\N	3-Month Evaluation of the Toxicity (C55367C) of tert-Butyl Alcohol (75-65-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	20.1406	umol/L	\N	\N	\N	\N	497.7007	mU/mg	450.7638	U/L	\N	\N	0	mg/dL	0	\N	0	\N	107.0182	mg/dL	0.2972	uM/hour	186.3869	mg/hr	\N	\N	0	\N	2534.4808	U/L	\N	\N	6.3638	mg/dL	0.0471	mg/hr	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	77.3127	mU/mg	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	3.2903	U/L	\N	\N	0	\N	0	\N	0	\N	\N	\N	\N	\N	6.3729	mg/hr	0	\N	593.6961	mg/dL	\N	\N	3.6934	mL/hr	2020-06-12 03:33:59.050014
50000.000000000000000	6	002-01888-0003-0000-0	\N	NTP	2001	\N	mg/kg	\N	6142703.ss	day	C56224C_0520105_02	\N	\N	0132_01	Rat	Female	B6C3F1	neg.	brown	cytorep_domcument.pdf	Acetaminophen	\N	3-Month Evaluation of the Toxicity (C90004) of Propylene Glycol mono-Butyl Ether (5131-66-8) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	10.8568	umol/L	\N	\N	\N	\N	197.9983	mU/mg	242.6977	U/L	0	\N	\N	\N	\N	\N	\N	\N	6.6156	mg/dL	\N	\N	8.116	mg/hr	\N	\N	\N	\N	\N	\N	\N	\N	54.5784	mg/dL	0.0802	mg/hr	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	61.3919	mU/mg	\N	\N	0	\N	\N	\N	\N	\N	0	\N	1.3272	umol/L	1.3748	U/L	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.5577	mg/hr	14.089	mL/hr	2021-06-08 22:24:58.042014
275.000000000000000	180	002-02816-0002-0000-1	\N	NTP	\N	\N	%	\N	0520203.ss	month	C62271_0520203_10	\N	\N	0206_03	Mouse	Male	B6C3F1	2	amber	\N	No stressor	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C61427) of Vanadium Pentoxide (1314-62-1) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	17.1338	mU/hr	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	0	\N	66.8274	mg/dL	\N	\N	139.7192	mg/hr	\N	\N	\N	\N	2684.8339	U/L	\N	\N	15.1961	mg/dL	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	0.8495	mg/hr	0	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	548.8751	mg/dL	\N	\N	\N	\N	2020-04-15 18:35:07.046814
750.000000000000000	70	002-02890-0003-0000-4	\N	NTP	\N	\N	mg/kg	\N	9902799.ss	week	C93026_9302605_04	\N	\N	0531_03	Rat	Female	F344	\N	brown	cytorep_domcument.pdf	Tetrachlorophthalic Anhydride	\N	Evaluation of the Chronic Toxicity and Carcinogenicity (C20114) of Sodium Dichromate Dihydrate (VI) (7789-12-0) in B6C3F1 Mice Exposed via Dosed Water. NTP Special Study	2.1332	umol/L	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	mg/dL	\N	\N	0	\N	\N	\N	0.2058	uM/hour	31.7914	mg/hr	\N	\N	\N	\N	\N	\N	\N	\N	52.6361	mg/dL	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	2.835	mg/hr	0	\N	\N	\N	0	\N	0	\N	3.5444	umol/L	3.4667	U/L	0	\N	0	\N	\N	\N	0	\N	\N	\N	1925.1363	mg/dL	4.5695	mg/hr	0	\N	\N	\N	0.2702	mg/hr	\N	\N	2020-07-17 00:33:10.147614
