CHEMICAL_NAME	STUDY_TITLE	ACCESSION_NUMBER	DEPOSITOR_STUDY_NUMBER	ORGANIZATION_NAME	START_DATE	END_DATE	DOSE	DOSE_UNIT	NTP_TOXICOLOGY_TYPE	NTP_TDMS_NUMBER	TIME_IN_STUDY	TIME_IN_STUDY_UNIT	GROUP_NAME	IS_CONTROL_GROUP	TREATMENT_GROUP_TYPE	ROUTE	SUBJECT_NAME	SPECIES_COMMON_NAME	SEX	STRAIN	ALA	ALA_UNIT	ALP	ALP_UNIT	ALPHR	ALPHR_UNIT	AP_CREAT	AP_CREAT_UNIT	ASP_CREAT	ASP_CREAT_UNIT	ASP_HR	ASP_HR_UNIT	AST	AST_UNIT	AVA	AVA_UNIT	BILI	BILI_UNIT	CA	CA_UNIT	CL	CL_UNIT	CREAT	CREAT_UNIT	CREAT_HR	CREAT_HR_UNIT	CRTN_16	CRTN_16_UNIT	CRTN_24	CRTN_24_UNIT	CRTN_48	CRTN_48_UNIT	DECALOL	DECALOL_UNIT	GALAC	GALAC_UNIT	GGT	GGT_UNIT	GGT_CREAT	GGT_CREAT_UNIT	GGT_HR	GGT_HR_UNIT	GLUC	GLUC_UNIT	GLUC_HR	GLUC_HR_UNIT	GLU_CREAT	GLU_CREAT_UNIT	GLU_HR_TIS	GLU_HR_TIS_UNIT	K	K_UNIT	KETONE	KETONE_UNIT	LDH_CREATN	LDH_CREATN_UNIT	MG	MG_UNIT	NA	NA_UNIT	NAG	NAG_UNIT	NAG_CREAT	NAG_CREAT_UNIT	NAG_HR	NAG_HR_UNIT	PH	PH_UNIT	PHOS	PHOS_UNIT	PROTEIN	PROTEIN_UNIT	PRO_CREAT	PRO_CREAT_UNIT	PRO_G_HR	PRO_G_HR_UNIT	PRPB	PRPB_UNIT	PRPB_HR	PRPB_HR_UNIT	RNASE	RNASE_UNIT	SDH	SDH_UNIT	SPGRAV	SPGRAV_UNIT	TCN_LT	TCN_LT_UNIT	TSPROT	TSPROT_UNIT	UBGEN	UBGEN_UNIT	UPRO_CRTN	UPRO_CRTN_UNIT	UREA_CONC	UREA_CONC_UNIT	UREA_HR	UREA_HR_UNIT	URINE_VOL	URINE_VOL_UNIT	UR_BLD	UR_BLD_UNIT	UR_CLAR	UR_CLAR_UNIT	UR_COLOR	UR_COLOR_UNIT	UR_PROT	UR_PROT_UNIT	UR_PROT_HR	UR_PROT_HR_UNIT	UR_VOL_HR	UR_VOL_HR_UNIT
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		20	mg/kg			7	day	Mid_7 days				66_Mid_7 days			Crl:CD(SD)IGS BR VAF/Plus																			1.5	mg/dL	56.80	mmol/L	46	mg/dL																			6	mg/dL							78.5	mEq/L					3.3	mg/dL	40	mEq/L							7.5		68	mg/dL	37.5	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		20	mg/kg			7	day	Mid_7 days				67_Mid_7 days			Crl:CD(SD)IGS BR VAF/Plus																			10.3	mg/dL	159.75	mmol/L	98	mg/dL																			12	mg/dL							140	mEq/L					25	mg/dL	67	mEq/L							7		115	mg/dL	122.8	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		20	mg/kg			7	day	Mid_7 days				68_Mid_7 days			Crl:CD(SD)IGS BR VAF/Plus																			10	mg/dL	181.05	mmol/L	128	mg/dL																			17	mg/dL							239	mEq/L					27	mg/dL	96	mEq/L							7		259	mg/dL	107.4	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		20	mg/kg			7	day	Mid_7 days				69_Mid_7 days			Crl:CD(SD)IGS BR VAF/Plus																			4.8	mg/dL	237.85	mmol/L	61	mg/dL																			11	mg/dL							134	mEq/L					11	mg/dL	67	mEq/L							7		133	mg/dL	89.8	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		20	mg/kg			7	day	Mid_7 days				70_Mid_7 days			Crl:CD(SD)IGS BR VAF/Plus																			1.8	mg/dL	102.95	mmol/L	32	mg/dL																			4	mg/dL							51.2	mEq/L					12	mg/dL	47	mEq/L							7		70	mg/dL	12.5	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		5	mg/kg			21	day	High_21 days				23_Control_21 days			Crl:CD(SD)IGS BR VAF/Plus																			1.4	mg/dL	145.55	mmol/L	49	mg/dL																			8	mg/dL							82	mEq/L					5.6	mg/dL	47	mEq/L							7.5		71	mg/dL	100	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		5	mg/kg			1	day	Low_24 hours				31_Low_24 hours			Crl:CD(SD)IGS BR VAF/Plus																			2.3	mg/dL	223.65	mmol/L	35	mg/dL																			6	mg/dL							96	mEq/L					14	mg/dL	40	mEq/L							7		51	mg/dL	25.9	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		5	mg/kg			1	day	Low_24 hours				32_Low_24 hours			Crl:CD(SD)IGS BR VAF/Plus																			1.5	mg/dL	142.00	mmol/L	27	mg/dL																			5	mg/dL							54.1	mEq/L					11	mg/dL	56	mEq/L							7		90	mg/dL	47.5	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		5	mg/kg			1	day	Low_24 hours				33_Low_24 hours			Crl:CD(SD)IGS BR VAF/Plus																			1.6	mg/dL	173.95	mmol/L	39	mg/dL																			8	mg/dL							67.1	mEq/L					18	mg/dL	66	mEq/L							7		101	mg/dL	44.3	g/dL																																								
Puromycin	Evaluation of clinical signs and RNA expression in male Sprague Dawley rats following exposure to known nephrotoxins:  20-day IP treatment with puromycin	008-00002-0011-000-2	ILS-N090-014	HESI	1/1/00		5	mg/kg			1	day	Low_24 hours				34_Low_24 hours			Crl:CD(SD)IGS BR VAF/Plus																			0.9	mg/dL	95.85	mmol/L	30	mg/dL																			6	mg/dL							61.1	mEq/L					7.1	mg/dL	33	mEq/L							7		102	mg/dL	35.4	g/dL																																								
