CHEMICAL_NAME	STUDY_TITLE	ACCESSION_NUMBER	DEPOSITOR_STUDY_NUMBER	ORGANIZATION_NAME	START_DATE	END_DATE	DOSE	DOSE_UNIT	NTP_TOXICOLOGY_TYPE	NTP_TDMS_NUMBER	TIME_IN_STUDY	TIME_IN_STUDY_UNIT	GROUP_NAME	IS_CONTROL_GROUP	TREATMENT_GROUP_TYPE	ROUTE	SUBJECT_NAME	SPECIES_COMMON_NAME	SEX	STRAIN	ALA	ALA_UNIT	ALP	ALP_UNIT	ALPHR	ALPHR_UNIT	AP_CREAT	AP_CREAT_UNIT	ASP_CREAT	ASP_CREAT_UNIT	ASP_HR	ASP_HR_UNIT	AST	AST_UNIT	AVA	AVA_UNIT	BILI	BILI_UNIT	CA	CA_UNIT	CL	CL_UNIT	CREAT	CREAT_UNIT	CREAT_HR	CREAT_HR_UNIT	CRTN_16	CRTN_16_UNIT	CRTN_24	CRTN_24_UNIT	CRTN_48	CRTN_48_UNIT	DECALOL	DECALOL_UNIT	GALAC	GALAC_UNIT	GGT	GGT_UNIT	GGT_CREAT	GGT_CREAT_UNIT	GGT_HR	GGT_HR_UNIT	GLUC	GLUC_UNIT	GLUC_HR	GLUC_HR_UNIT	GLU_CREAT	GLU_CREAT_UNIT	GLU_HR_TIS	GLU_HR_TIS_UNIT	K	K_UNIT	KETONE	KETONE_UNIT	LDH_CREATN	LDH_CREATN_UNIT	MG	MG_UNIT	NA	NA_UNIT	NAG	NAG_UNIT	NAG_CREAT	NAG_CREAT_UNIT	NAG_HR	NAG_HR_UNIT	PH	PH_UNIT	PHOS	PHOS_UNIT	PROTEIN	PROTEIN_UNIT	PRO_CREAT	PRO_CREAT_UNIT	PRO_G_HR	PRO_G_HR_UNIT	PRPB	PRPB_UNIT	PRPB_HR	PRPB_HR_UNIT	RNASE	RNASE_UNIT	SDH	SDH_UNIT	SPGRAV	SPGRAV_UNIT	TCN_LT	TCN_LT_UNIT	TSPROT	TSPROT_UNIT	UBGEN	UBGEN_UNIT	UPRO_CRTN	UPRO_CRTN_UNIT	UREA_CONC	UREA_CONC_UNIT	UREA_HR	UREA_HR_UNIT	URINE_VOL	URINE_VOL_UNIT	UR_BLD	UR_BLD_UNIT	UR_CLAR	UR_CLAR_UNIT	UR_COLOR	UR_COLOR_UNIT	UR_PROT	UR_PROT_UNIT	UR_PROT_HR	UR_PROT_HR_UNIT	UR_VOL_HR	UR_VOL_HR_UNIT
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_08				0710_03	Rat	Female	Fischer 344																																																																																					1.028	ratio													0.5	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0201_03	Rat	Male	Fischer 344																																																																																					1.022	ratio																									0.3125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0202_03	Rat	Male	Fischer 344																																																																																					1.025	ratio																									0.4375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0203_03	Rat	Male	Fischer 344																																																																																					1.018	ratio																									0.5625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0204_03	Rat	Male	Fischer 344																																																																																					1.025	ratio																									0.46875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0205_03	Rat	Male	Fischer 344																																																																																					1.018	ratio																									0.75	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0206_03	Rat	Male	Fischer 344																																																																																					1.023	ratio																									0.4375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0207_03	Rat	Male	Fischer 344																																																																																					1.017	ratio																									0.625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0208_03	Rat	Male	Fischer 344																																																																																					1.032	ratio																									0.3125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0209_03	Rat	Male	Fischer 344																																																																																					1.016	ratio																									0.8125	mL/hr
