ASSAY_ABBR	ASSAY_NAME	DATA_DOMAIN	NTP_STUDY_TYPE
ALA	AMINOLEVULINIC_ACID	URINALYSIS	
ALP	ALKALINE_PHOSPHATASE	URINALYSIS	
ALPHR	ALKALINE_PHOSPHATASE_PER_HR	URINALYSIS	
AP_CREAT	ALKALINE_PHOSPHATASE_CREATININE_RATIO	URINALYSIS	
ASP_CREAT	ASPARTATE_AMINOTRANSFERASE_CREATININE_RATIO	URINALYSIS	
ASP_HR	ASPARTATE_AMINOTRANSFERASE_PER_HR	URINALYSIS	
AST	ASPARTATE_AMINOTRANSFERASE	URINALYSIS	
AVA	AMINOLEVULINIC_ACID_PER_HOUR	URINALYSIS	
BILI	BILIRUBIN_TOTAL	URINALYSIS	
CA	CALCIUM	URINALYSIS	
CL	CHLORIDE	URINALYSIS	
CREAT	CREATININE	URINALYSIS	
CREAT_HR	CREATININE_PER_HOUR	URINALYSIS	
CRTN_16	CREATININE_EXCRETION_PER_16HR	URINALYSIS	
CRTN_24	CREATININE_EXCRETION_PER_24HR	URINALYSIS	
CRTN_48	CREATININE_EXCRETION_PER_48HR	URINALYSIS	
DECALOL	DECALOL	URINALYSIS	
GALAC	GALACTOSIDASE	URINALYSIS	
GGT	GAMMA_GLUTAMYLTRANSFERASE	URINALYSIS	
GGT_CREAT	GAMMA_GLUTAMYLTRANSFERASE_CREATININE_RATIO	URINALYSIS	
GGT_HR	GAMMA_GLUTAMYLTRANSFERASE_PER_HR	URINALYSIS	
GLUC	GLUCOSE	URINALYSIS	
GLUC_HR	GLUCOSE_PER_HR	URINALYSIS	
GLU_CREAT	GLUCOSE_CREATININE_RATIO	URINALYSIS	
GLU_HR_TIS	GLUCOSE_PER_G_TISSUE_PER_HOUR	URINALYSIS	
K	POTASSIUM	URINALYSIS	
KETONE	KETONES	URINALYSIS	
LDH_CREATN	LACTATE_DEHYDROGENASE_CREATININE	URINALYSIS	
MG	MAGNESIUM	URINALYSIS	
NA	SODIUM	URINALYSIS	
NAG	N_ACETYL_GLUCOSAMINIDASE	URINALYSIS	
NAG_CREAT	N_ACETYL_GLUCOSAMINIDASE_CREATININE_RATIO	URINALYSIS	
NAG_HR	N_ACETYL_GLUCOSAMINIDASE_PER_HOUR	URINALYSIS	
PH	PH	URINALYSIS	
PHOS	PHOSPHORUS	URINALYSIS	
PROTEIN	PROTEIN_TOTAL	URINALYSIS	
PRO_CREAT	PROTEIN_CREATININE_RATIO	URINALYSIS	
PRO_G_HR	URINE_PROTEIN_PER_G_TISSUE_PER_HOUR	URINALYSIS	
PRPB	PROPHOBILINIGEN	URINALYSIS	
PRPB_HR	PROPHOBILINIGEN_PER_HOUR	URINALYSIS	
RNASE	RIBONUCLEASE	URINALYSIS	
SDH	SORBITOL_DEHYDROGENASE	URINALYSIS	
SPGRAV	Specific Gravity	URINALYSIS	
TCN_LT	Thiocyanate per Liter	URINALYSIS	
TSPROT	Soluble Protein Total	URINALYSIS	
UBGEN	URONBIINOGEN	URINALYSIS	
UPRO_CRTN	URINE_PROTEIN_CREATININE_RATIO	URINALYSIS	
UREA_CONC	UREA_CONC	URINALYSIS	
UREA_HR	UREA_PER_HR	URINALYSIS	
URINE_VOL	URINE_VOLUME	URINALYSIS	
UR_BLD	URINE_BLOOD	URINALYSIS	
UR_CLAR	URINE_CLARITY	URINALYSIS	
UR_COLOR	URINE_COLOR	URINALYSIS	
UR_PROT	URINE_PROTEIN	URINALYSIS	
UR_PROT_HR	URINE_PROTEIN_PER_HR	URINALYSIS	
UR_VOL_HR	URINE_VOLUME_PER_HOUR	URINALYSIS	
